time,oil,ore,uranium,diamonds,helium-3,rivalium,tanks,aircrafts,missiles,bombers,laser drones
2021-02-16 14:21:21,248,217,2100,1649990,805000,147000,9524,57711,410000,649109,280000000
2021-02-16 14:32:02,247,217,2095,1645000,804998,143999,9519,57708,410000,649105,280000000
2021-02-16 14:40:05,243,215,2048,1625000,803000,142000,9517,57705,410000,649104,280000000
2021-02-16 14:50:37,247,215,2039,1625000,808000,142590,9762,57719,410000,649103,279973000
2021-02-16 15:01:12,245,217,2019,1600000,804997,142590,9756,57714,410000,649101,279973000
2021-02-16 15:11:47,245,215,2010,1600000,789999,143999,9750,57716,410000,649099,279972000
2021-02-16 15:22:18,249,217,2008,1600000,798000,144999,9745,57713,410000,609998,279973000
2021-02-16 15:32:56,249,216,2088,1599000,802999,138999,9708,57703,410000,609300,279682000
2021-02-16 15:43:36,248,215,2075,1600000,804000,138990,9696,57698,410000,609298,279681000
2021-02-16 15:54:12,247,217,2060,1624990,800000,129999,9708,57349,410000,649102,278990000
2021-02-16 16:10:36,248,217,2029,1620000,800800,129999,9646,57311,409999,649101,278970000
2021-02-16 16:21:10,244,217,2028,1618000,799999,120000,9641,57306,409999,649101,279673000
2021-02-16 16:31:48,245,217,2026,1609500,799999,120000,9637,57301,409999,649516,279673000
2021-02-16 16:42:24,245,217,2026,1609500,800800,130000,9729,57219,410000,647000,279673000
2021-02-16 16:52:56,246,216,2025,1550000,790000,142639,9724,57216,410000,645999,279671000
2021-02-16 17:04:46,247,217,2013,1542000,799999,142750,9720,57212,410000,645999,279670000
2021-02-16 17:15:23,247,217,2022,1542000,797995,141000,9714,57218,410000,645997,279671000
2021-02-16 17:26:00,248,217,2033,1604000,798999,140370,9590,57200,410000,644000,279670000
2021-02-16 17:36:36,246,217,2020,1603000,798000,136500,9586,56999,410000,644000,279670000
2021-02-16 17:41:46,247,217,2019,1601990,797000,140499,9582,56998,410000,643999,279669000
2021-02-16 17:52:20,248,217,2020,1598990,796995,135000,9575,56997,410000,641999,277999000
2021-02-16 18:02:57,247,217,2015,1550000,798000,140000,9572,56999,410000,641000,277998000
2021-02-16 18:13:32,246,217,2013,1590000,804000,140000,9569,56999,410000,640999,277000000
2021-02-16 18:24:04,248,217,2010,1575000,799998,149999,9579,56999,410000,640999,276996000
2021-02-16 18:34:43,248,216,2009,1545990,807000,168500,9576,57000,410000,644000,276900000
2021-02-16 18:45:22,250,216,2030,1546000,797000,165999,9897,56999,410000,643999,276898000
2021-02-16 18:56:01,250,215,2027,1570000,796000,165999,9899,58000,410000,643999,275000000
2021-02-16 19:06:40,247,215,2025,1570000,788000,165998,9898,57996,410000,643997,274900000
2021-02-16 19:17:16,252,218,2027,1584000,779980,168700,9800,57848,410000,643994,274890000
2021-02-16 19:27:54,250,213,2021,1555560,777997,167999,9797,57846,410000,643994,274890000
2021-02-16 19:38:32,248,217,2019,1555000,784998,163000,9796,57844,410000,643991,273999000
2021-02-16 19:49:10,248,216,2000,1553000,777000,159999,9794,57843,410000,643996,273995000
2021-02-16 19:59:51,249,217,2020,1530000,778999,159600,9790,57845,410000,638999,273993000
2021-02-16 20:10:29,240,216,2016,1530000,776000,159500,9786,57841,410000,638997,273889000
2021-02-16 20:21:16,248,215,2014,1530000,773999,159900,9780,57838,410000,638995,272880000
2021-02-16 20:27:50,246,216,2000,1526750,770000,159890,9709,57000,410000,638993,272869000
2021-02-16 20:38:25,244,215,2029,1553000,769995,155000,9700,57835,410000,638990,269877000
2021-02-16 20:49:01,249,216,2026,1549000,767999,150000,9710,57846,410000,645999,264999000
2021-02-16 20:59:35,243,215,2025,1500000,768000,146666,9699,57844,410000,645996,260000000
2021-02-16 21:10:07,245,216,2023,1530000,763000,152999,9696,57840,409999,645998,264999000
2021-02-16 21:20:43,247,215,2021,1550000,770000,149000,9794,57841,409999,645998,264998000
2021-02-16 21:31:21,248,216,2019,1550000,778000,140000,9791,57847,409999,643999,264000000
2021-02-16 21:42:00,248,217,2019,1500000,775998,150000,9788,57846,409999,643996,264000000
2021-02-16 21:52:37,246,217,1978,1549000,784000,153998,9598,57843,409999,646000,261000000
2021-02-16 22:03:15,246,216,2000,1530000,782600,158899,9596,57840,409999,649998,260000000
2021-02-16 22:13:58,248,218,2019,1530000,789999,159800,9593,57836,409999,649995,259000000
2021-02-16 22:24:35,244,216,2027,1543990,790000,149999,9588,58498,409999,649992,259968000
2021-02-16 22:35:12,247,215,2022,1543000,790000,150000,9599,58496,409999,649990,259967000
2021-02-16 22:45:51,247,216,2020,1548000,798000,148000,9792,58495,408000,649988,259964000
2021-02-16 22:56:30,245,216,2000,1575000,800000,148000,9791,58493,408000,649985,258000000
2021-02-16 23:07:10,244,215,2000,1575000,800000,149315,9793,58488,407000,649980,260988000
2021-02-16 23:17:47,245,216,2018,1570000,816800,163000,9894,58482,407000,649975,269999000
2021-02-16 23:28:25,249,217,2016,1568000,811000,169999,9889,58478,406999,659999,269900000
