time,oil,ore,uranium,diamonds,helium-3,rivalium,tanks,aircrafts,missiles,bombers,laser drones
2020-12-13 20:48:54,238,227,2039,1498000,802000,119999,9971,59992,399999,613896,259000000
2020-12-13 21:17:07,241,229,2200,1500000,808000,110000,9961,59899,399999,613894,259000000
2020-12-13 21:19:12,241,229,2199,1500000,808000,110000,9961,59899,399999,613894,259000000
2020-12-13 21:25:07,244,229,2198,1495500,804000,110000,9959,59899,399999,613894,259000000
2020-12-13 21:35:34,241,225,2195,1495500,800000,118750,10,59992,399999,613895,259000000
2020-12-13 21:46:56,240,227,2193,1495500,799000,114999,9954,57999,399999,613900,259000000
2020-12-13 21:56:55,238,220,2199,1493990,799000,114000,9950,57999,399999,613899,259000000
2020-12-13 22:06:50,237,227,2189,1492800,806800,114000,9948,57999,399999,613900,258999000
2020-12-13 22:16:48,239,225,2189,1493990,803000,114000,9950,59899,399999,613900,258999000
2020-12-13 22:27:09,240,224,2099,1493990,800000,106000,9947,59899,399999,605000,258999000
2020-12-13 23:15:33,245,230,2186,1490000,793000,117999,10487,59998,399999,605000,257000000
2020-12-13 23:25:41,242,228,2179,1490000,793000,116000,10483,59998,399999,613900,257000000
2020-12-13 23:35:41,242,227,2178,1470000,803000,110000,10477,55000,399999,613899,256999000
2020-12-13 23:45:43,239,228,2176,1494990,798000,120000,10477,59998,399999,607800,255000000
2020-12-13 23:55:44,240,232,2098,1499000,801999,120998,10497,59997,399999,607795,255000000
2020-12-14 00:06:09,244,235,2089,1499000,800000,120996,10496,60160,399999,607795,254999000
2020-12-14 00:16:12,243,238,2089,1500000,799000,120994,10496,60160,399999,607795,254999000
2020-12-14 00:26:15,238,235,2087,1500000,798990,120993,10493,60160,399999,607795,254999000
2020-12-14 00:36:18,242,234,2084,1499000,798990,120991,10495,60154,399999,607795,254999000
2020-12-14 00:46:20,243,235,2049,1499000,798100,120980,10440,60155,399999,607789,254999000
2020-12-14 00:57:00,245,240,2048,1520000,798100,117999,10395,60100,399999,606000,254999000
2020-12-14 01:07:05,244,239,2045,1529990,795999,116999,10389,60000,399999,605990,254999000
2020-12-14 01:17:05,243,235,2049,1500000,795999,116997,10388,60000,399999,607785,253000000
2020-12-14 01:27:05,241,237,2045,1490000,795999,100000,10380,60000,399999,607785,253000000
2020-12-14 01:37:05,241,235,2043,1534990,795999,115998,10380,59999,399999,607790,253000000
2020-12-14 01:47:27,238,232,2048,1534990,794000,110000,10379,59999,399999,605000,253000000
2020-12-14 01:57:30,238,231,2046,1500000,802800,109999,10400,60154,399999,604999,253000000
